filename,status,filer_name,doc_type,error_detail
2024_Kelly_10067088.pdf,Success,Hon. John Trent Kelly,Full Report,
2024_Bohan_10057692.pdf,Success,Patrick Bohan,Full Report,
2023_Carson_10060751.pdf,Success,Hon. André Carson,Full Report,
2023_Chen_10056340.pdf,Success,Anita S. Chen,Full Report,
2023_Curry_10052677.pdf,Success,Kellen Curry,Full Report,
2023_Schweikert_10060213.pdf,Success,Hon. David Schweikert,Full Report,
2024_Gillen_30023885.pdf,Success,Hon. Laura Gillen,Unknown,
2024_Jenkins_10061440.pdf,Success,Colby C. Jenkins,Full Report,
2023_Shanahan_10056339.pdf,Success,Whitney Shanahan,Full Report,
2024_Heinzer_10061913.pdf,Success,Clifford Heinzer,Full Report,
2023_Gottheimer_30019776.pdf,Success,Hon. Josh Gottheimer,Unknown,
2023_Prescott_30019393.pdf,Success,Russell Prescott,Unknown,
2024_Andrews_10061159.pdf,Success,Aliscia Andrews,Full Report,
2023_Semenenko_10054753.pdf,Success,Max Semenenko,Full Report,
2023_Ivey_10059399.pdf,Success,Hon. Glenn Ivey,Full Report,
2023_Babits_10056608.pdf,Success,Joseph Babits,Full Report,
2024_Chowdhury_10061385.pdf,Success,Mohammed Mohiuddin Chowdhury,Full Report,
2024_Frost_10068347.pdf,Success,Hon. Maxwell Alejandro Frost,Full Report,
2024_Crnkovich_10061932.pdf,Success,Karen Crnkovich,Full Report,
2023_Riedel_10051993.pdf,Success,Craig Riedel,Full Report,
2024_Diaz-Balart_10067368.pdf,Success,Hon. Mario Diaz-Balart,Full Report,
2023_Slotkin_30021698.pdf,Success,Hon. Elissa Slotkin,Unknown,
2024_Meuser_30023011.pdf,Success,Hon. Daniel Meuser,Unknown,
2023_Ekpete_10055190.pdf,Success,Dr. Uloma Uma-Kama Ekpete,Full Report,
2024_Murphy_10067151.pdf,Success,Hon. Greg Murphy,Full Report,
2024_Jayapal_10067187.pdf,Success,Hon. Pramila Jayapal,Full Report,
2024_Hemenway_7942.pdf,Success,James Vincent Hemenway,Unknown,
2023_Min_10071826.pdf,Success,Hon. Dave Min,Full Report,
2024_Lerner_10056816.pdf,Success,Kari Lerner,Full Report,
2024_Smiley_40003681.pdf,Success,Heather Smiley,Unknown,
2024_Wildes_8220314.pdf,Failed,N/A,N/A,OCR_REQUIRED: No machine-readable text found.
2023_Goldman_30019513.pdf,Success,Craig Goldman,Unknown,
2023_Molinaro_30021769.pdf,Success,Hon. Marcus J. Molinaro,Unknown,
2024_Bresnahan_30020918.pdf,Success,Rob Bresnahan,Unknown,
2023_Swalwell_30022044.pdf,Success,Hon. Eric Swalwell,Unknown,
2023_Dunn_30021050.pdf,Success,"Hon. Neal Patrick MD, Facs Dunn",Unknown,
2023_Kelly_30021126.pdf,Success,Hon. Mike Kelly,Unknown,
2023_Tenney_30021366.pdf,Success,Hon. Claudia Tenney,Unknown,
2023_Nickel_30021466.pdf,Success,Hon. Wiley Nickel,Unknown,
2024_Douglass_10057739.pdf,Success,Dr. Eugene Farley Douglass,Full Report,
2023_Owens_10062290.pdf,Success,Hon. Burgess Owens,Full Report,
2024_Min_10071825.pdf,Success,Hon. Dave Min,Full Report,
2023_Forte_10055136.pdf,Success,Tina Forte,Full Report,
2023_Lochner_10050910.pdf,Success,Jill Andrea Lochner,Full Report,
2023_Hamilton_10062338.pdf,Success,Cameron Hamilton,Full Report,
2023_Talkington_10055702.pdf,Success,Michelle Talkington,Full Report,
