ticker,filer,filing_datetime,impulse,doc_id
TDG,HON.,2024-04-07 00:00:00+00:00,-1,20024801
SQ,HON.,2024-04-07 00:00:00+00:00,-1,20024801
CBZ,HON.,2024-04-07 00:00:00+00:00,-1,20024801
ADBE,HON.,2024-04-07 00:00:00+00:00,-1,20024801
ADC,HON.,2024-04-07 00:00:00+00:00,-1,20024801
SHLS,HON.,2024-04-07 00:00:00+00:00,-1,20024801
BNTX,HON.,2024-04-07 00:00:00+00:00,-1,20024801
MAR,HON.,2024-04-07 00:00:00+00:00,-1,20024801
TSM,HON.,2024-04-07 00:00:00+00:00,-1,20024801
CRM,HON.,2024-04-07 00:00:00+00:00,-1,20024801
MELI,HON.,2024-04-07 00:00:00+00:00,-1,20024801
FOXF,HON.,2024-04-07 00:00:00+00:00,-1,20024801
PWP,HON.,2024-04-07 00:00:00+00:00,-1,20024801
HSHCY,HON.,2024-04-07 00:00:00+00:00,-1,20024801
XNGSY,HON.,2024-04-07 00:00:00+00:00,-1,20024801
SNPS,HON.,2024-04-07 00:00:00+00:00,-1,20024801
AAPL,HON.,2024-04-07 00:00:00+00:00,-1,20024801
ETN,HON.,2024-04-07 00:00:00+00:00,-1,20024801
DASTY,HON.,2024-04-07 00:00:00+00:00,-1,20024801
OCFC,HON.,2024-04-07 00:00:00+00:00,-1,20024801
HCA,HON.,2024-04-07 00:00:00+00:00,-1,20024801
INTA,HON.,2024-04-07 00:00:00+00:00,-1,20024801
BHP,HON.,2024-04-07 00:00:00+00:00,-1,20024801
SSDOY,HON.,2024-04-07 00:00:00+00:00,-1,20024801
DAVA,HON.,2024-04-07 00:00:00+00:00,-1,20024801
TSLA,HON.,2024-04-07 00:00:00+00:00,-1,20024801
NSRGY,HON.,2024-05-15 00:00:00+00:00,0,20025020
SHOP,HON.,2024-05-15 00:00:00+00:00,0,20025020
CTSH,HON.,2024-05-15 00:00:00+00:00,0,20025020
VRT,HON.,2024-05-15 00:00:00+00:00,0,20025020
HLMN,HON.,2024-05-15 00:00:00+00:00,0,20025020
ADBE,HON.,2024-05-15 00:00:00+00:00,0,20025020
ADC,HON.,2024-05-15 00:00:00+00:00,0,20025020
SHLS,HON.,2024-05-15 00:00:00+00:00,0,20025020
BNTX,HON.,2024-05-15 00:00:00+00:00,0,20025020
FICO,HON.,2024-05-15 00:00:00+00:00,0,20025020
IART,HON.,2024-05-15 00:00:00+00:00,0,20025020
FOXF,HON.,2024-05-15 00:00:00+00:00,0,20025020
TCEHY,HON.,2024-05-15 00:00:00+00:00,0,20025020
